"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Alcance,Gostos,Partilhas,Seguimentos,Comentários,"Itens guardados"
17870476092036323,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","O ensino de estatística é mais crucial do que o de cálculo. Você concorda? 🤯

#math #matematica #estatistica #thmestatistica #datascience",0,"04/02/2024 13:23",https://www.instagram.com/p/C5RblyKKkUx/,"Imagem do Instagram",,"Toda a duração",19690,1269,136,154,82,193
17883867591020084,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você sabe qual a demonstração que permite chegar até o valor de pi, a partir deste caso? 🧐

#montecarlo #pi #math #statistics #thmestatistica #dados #datascience",26,"04/01/2024 13:30",https://www.instagram.com/reel/C5O3n2QJnuV/,"Reel do IG",,"Toda a duração",135985,1697,142,314,16,287
18450160306001836,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Excel? Pego meu R e saio... 🫣

#thmestatistica #dados #datascience #estatistica #excel #Rstudio",8,"06/28/2024 12:57",https://www.instagram.com/reel/C8xZ1mBMXJv/,"Reel do IG",,"Toda a duração",3140,173,63,,1,18
18321219811182270,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Construa você mesmo as ferramentas que precisa! 😎

#thmestatistica #dados #datascience #RStudio #Rcran #estatistica",0,"06/26/2024 14:01",https://www.instagram.com/p/C8sXjINA1mr/,"Carrossel do Instagram",,"Toda a duração",623,38,5,1,0,23
17981889176547195,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Assista esta e muitas outras aulas com exercícios resolvidos em nosso canal do Youtube! 🤩
LINK NA BIO

#thmestatistiva #aulas #estatistica #exercicioresolvido #exercicio #estudo #statistics",85,"06/25/2024 13:23",https://www.instagram.com/reel/C8puWRRCAZ_/,"Reel do IG",,"Toda a duração",581,8,0,,0,1
18440408233059736,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Todos os modelos devem vir acompanhados de bom senso 🫣

#thmestatistica #dados #datascience #estatistica #statistics",0,"06/24/2024 13:01",https://www.instagram.com/p/C8nHDCjsITk/,"Carrossel do Instagram",,"Toda a duração",5161,363,55,5,2,77
18073857124513322,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Todo mundo já sentiu isso 🫣

#thmestatistica #dados #datascience #divertidamente2 #Divertidamente #divertidamentefilme #disney #filme #cinemas #estreia",0,"06/21/2024 12:04",https://www.instagram.com/p/C8fSJl5MMGN/,"Carrossel do Instagram",,"Toda a duração",5312,324,92,4,0,27
18085845991463671,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","ANÚNCIO IMPORTANTE ⚠️⚠️⚠️⚠️

#thmestatistica #dados #datascience #statistics #estatistica #data",0,"06/20/2024 13:38",https://www.instagram.com/p/C8c4HRmiQBy/,"Carrossel do Instagram",,"Toda a duração",730,46,3,2,0,2
17906088197984441,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Tenha classe nas suas análises 😎

#thmestatistica #dados #Rstudio #datascience #data",0,"06/19/2024 14:41",https://www.instagram.com/p/C8aahVqP3u_/,"Carrossel do Instagram",,"Toda a duração",624,47,0,,0,10
18269002069169502,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Aprenda a fazer exercícios com essa fluidez 😎
Aulas GRATUITAS!
LINK NA BIO

#thmestatistica #dados #statistics #estatistica #datascience",60,"06/18/2024 14:42",https://www.instagram.com/reel/C8X143Vuolu/,"Reel do IG",,"Toda a duração",546,12,0,,0,2
18013144781387249,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Dados mostram que você não é só mais alguém com uma opinião 😎

#thmestatistica #dados #leanmanagement #administracao #ADM #livros",0,"06/17/2024 13:26",https://www.instagram.com/p/C8VIWPJtX3O/,"Imagem do Instagram",,"Toda a duração",18963,1116,156,165,5,228
18110389540385668,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Eu não desejo isso nem pro meu pior inimigo 😫😫😫

#thmestatistica #dados #estatistica #tese #tcc #dissertacao #mestrado #doutorado #graduacao",18,"06/14/2024 13:40",https://www.instagram.com/reel/C8NbkDyqAnT/,"Reel do IG",,"Toda a duração",4227,174,70,,2,15
18007215302529943,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Caixas mágicas? Não! São apenas objetos no R 😎

#thmestatistica #dados #estatistica #datascience #dados #cienciadedados",0,"06/12/2024 14:18",https://www.instagram.com/p/C8IWUydAlCq/,"Carrossel do Instagram",,"Toda a duração",450,29,0,,0,8
17947868975803568,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Também quer descomplicar seu trabalho como o Leonardo, Doutorando em Engenharia Civil, fez? 🤩
Chama a gente no direct e ficaremos felizes em pensar numa solução!

#thmestatisticsa #dados #datascience #pesquisa #datascience #ciencia #doutorado #mestrado #tese #dissertacao",87,"06/11/2024 13:10",https://www.instagram.com/reel/C8FpyEMhgrn/,"Reel do IG",,"Toda a duração",490,14,0,,0,0
17986257011670865,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Há dados em todos os aspectos de suas vidas 🤯

#thmestatistica #tinder #datascience #dados #data #love",0,"06/10/2024 12:57",https://www.instagram.com/p/C8DDdqHtlDZ/,"Carrossel do Instagram",,"Toda a duração",1520,57,7,5,0,12
18036714322796556,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A partir daqui, há um longo caminho 😎

#thmestatistica #dados #datascience #cienciadedados #estatistica",8,"06/07/2024 13:33",https://www.instagram.com/reel/C77ZNDsx-IB/,"Reel do IG",,"Toda a duração",2373,96,17,1,1,13
18030849953495150,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","#TBT de hoje é de quando o nosso Prof. Tiago Marum palestrou na @fiapoficial sobre o atual mercado da tecnologia. Esperamos ter contagiado os alunos sobre todas as soluções que a ciência de dados e estatística podem oferecer 🤩🤩

#thmestatistica #fiap #dados #tecnologia #datascience #cienciadedados",0,"06/06/2024 13:31",https://www.instagram.com/p/C740LT-IaAA/,"Carrossel do Instagram",,"Toda a duração",620,38,0,,0,1
18115081474374718,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Acesse já as melhores AULAS GRATUITAS de R! 🤩🤩

#RStudio #thmestatistica #dados #datascience #data #statistics",0,"06/05/2024 14:51",https://www.instagram.com/p/C72Yk8yOvtz/,"Carrossel do Instagram",,"Toda a duração",638,35,5,1,0,18
18299643073088756,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Conceitos importantes explicados de forma simples? Só no canal Educacional THM! 🤩
LINK NA BIO

#thmestatistica #dados #datascience #estatistica #statistics",77,"06/04/2024 13:34",https://www.instagram.com/reel/C7zq3KOKqT4/,"Reel do IG",,"Toda a duração",740,30,1,1,2,4
17967262097636061,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Os dados nunca devem ser em vão 🤯

#thmestatistica #dados #datascience #statistics #estatistica",0,"06/03/2024 13:33",https://www.instagram.com/p/C7xGBMmoIzN/,"Imagem do Instagram",,"Toda a duração",1777,100,14,2,2,18
18021504269469880,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","É meme 🫣...

#thmestatistica #dados #datascience #cienciadedados #estatistica",10,"05/31/2024 13:01",https://www.instagram.com/reel/C7pUDv5NfUz/,"Reel do IG",,"Toda a duração",1707,85,8,,3,7
17922430937914206,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Tem gente que é assim até hoje... 🫣

#thmestatistica #dados #datascience #statistics #estatistica",0,"05/30/2024 08:52",https://www.instagram.com/p/C7mSvcWRyeD/,"Imagem do Instagram",,"Toda a duração",4357,242,102,2,0,25
18028022197906404,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Uma ferramenta tão simples, pode ser muito esclarecedora 🤩

#thmestatistica #dados #datascience #histogram #data",0,"05/29/2024 15:37",https://www.instagram.com/p/C7kcUOlxZjP/,"Carrossel do Instagram",,"Toda a duração",1131,63,7,1,1,24
