"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Visualizações,Alcance,Gostos,Partilhas,Seguimentos,Comentários,"Itens guardados"
17874243906254170,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Muita calma nessa hora 😇

#thmestatistica #dados #estatistica #datascience #graduação #mestrado #doutorado",7,"01/17/2025 12:30",https://www.instagram.com/reel/DE8K8x9q0pp/,"Reel do IG",,"Toda a duração",6542,3887,158,18,5,0,12
18017274299474921,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","⚽📊 Ciência de Dados no Futebol!

A THM Estatística, junto com Paulo Massini @paulo.massini , foi além do óbvio na análise esportiva! 
Usamos dados para revelar padrões, evolução e impacto dos jogadores em campo. 📈

Quer entender como estatísticas transformam o futebol? 
Acompanhe o Canal do Paulo Massini e descubra o que os números dizem sobre o jogo! 🎥

#CiênciaDeDados #Futebol #THMEstatística #AnáliseEsportiva #PauloMassini",55,"01/21/2025 14:41",https://www.instagram.com/reel/DFGtEmpp4yr/,"Reel do IG",,"Toda a duração",1335,893,20,1,1,1,5
18019110482452370,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🕑 Os tempos mudaram...
#thmestatistica #dados #datascience #memes",7,"01/24/2025 13:17",https://www.instagram.com/reel/DFOR3oXyUpw/,"Reel do IG",,"Toda a duração",7475,3678,97,10,2,1,3
17955946409903287,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🚀 HealthTech e IA na prática!

A tecnologia está revolucionando a área da saúde! Com Visão Computacional, agora é possível acompanhar a evolução de tratamentos com mais precisão e inovação, oferecendo dados valiosos para médicos e pacientes. 📊👩‍⚕️

Quer saber mais sobre como a Ciência de Dados está transformando a saúde? Fala com a gente! 🔍📲

#HealthTech #InovaçãoNaSaúde #VisãoComputacional #CiênciaDeDados #THMEstatística",33,"01/27/2025 13:00",https://www.instagram.com/reel/DFV-WfLxuUy/,"Reel do IG",,"Toda a duração",1134,817,28,6,4,0,6
17867883906220750,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","📊 Estatística é o diferencial para passar em concursos! 🚀

Muita gente não sabe, mas Estatística pode representar até 25% da prova em alguns concursos.
📈 Saber interpretar dados, gráficos e probabilidades pode garantir pontos valiosos e levar você à aprovação!

Além disso, os salários iniciais são altamente atrativos, podendo chegar a mais de R$ 20.000,00! 💰🔥

📢 Fique de olho nos editais: EMBRAPA, Polícia Federal e CNU já estão movimentando o cenário dos concursos para 2025!

🔎 Quer se preparar para as questões de Estatística e Ciência de Dados com materiais focados? 
Comente ""CONCURSO"" e receba conteúdos exclusivos e participe do nosso grupo para dominar Estatística e garantir sua vaga!

#ConcursoPúblico #THMEstatística #Aprovação #EstatísticaParaConcursos #CiênciaDeDados""",0,"01/28/2025 13:01",https://www.instagram.com/p/DFYjNiIvtB_/,"Carrossel do Instagram",,"Toda a duração",123555,83531,14,0,1,11,3
18142549642336364,17841404267183716,clickgeo.cursos,"Anderson Medeiros","🚨 ALERTA de Capacitação On-line de Introdução Prática à Geoestatística!
.
👨🏻‍💻 Como você deve saber é muito raro encontrar na internet conteúdo de qualidade sobre práticas de Geoestatística. Para suprir essa demanda, a @clickgeo.cursos em parceria com a @thmestatistica vai promover um treinamento on-line e ao vivo.
.
📍 Haverá atividades que envolvem práticas no QGIS, programação em Python e R, além de discussões e aplicações baseadas em casos reais.
.
➡️ Esta capacitação é útil para para profissionais e estudantes de áreas como Geografia, Geologia, Biologia, diversas Engenharias – civil, ambiental, florestal, de pesca, agrícola, agronômica, elétrica, entre outras – Gestão Ambiental, Arquitetura e Urbanismo, e outras áreas que usam dados com componente espacial, Geoprocessamento e Sensoriamento Remoto em suas atividades.
.
💻 As vagas são limitadas, pois será um treinamento ao vivo e a sala do Zoom tem limite de participantes.
.
⚠️ Para mais detalhes, chame nossa equipe pelos canais informados no último card deste post. Combinado?",0,"01/31/2025 10:40",https://www.instagram.com/p/DFgBhPPRPwH/,"Carrossel do Instagram",,"Toda a duração",6149,,109,13,,5,0
18086843854561560,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","e você, já agradeceu por saber linguagem R e usar o RStudio?! 😂

Se não sabe, tá na hora de aprender com a THM Estatística para triplicar sua produtividade em análise e ciência de dados!

🧡 é só falar com a gente! Vem no direct!",12,"02/07/2025 13:28",https://www.instagram.com/reel/DFyVsyYpPrf/,"Reel do IG",,"Toda a duração",1972,1316,43,6,,1,6
18065243794928805,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","📢 A THM Estatística está em busca de um parceiro para Marketing! 🚀

Se você é criativo, antenado em Marketing Digital e quer trabalhar com Ciência de Dados e Estatística, essa pode ser a sua chance! 🎯

📌 Vaga para Estágio, PJ ou Freela
📌 Trabalho remoto e horário flexível
📌 Atuação com redes sociais, conteúdo e estratégia digital

💡 Interessados devem enviar e-mail para rh@thmestatistica.com com:
✅ Currículo
✅ Portfólio
✅ Esboço de arte ou reel no contexto da THM
✅ (Opcional) Sugestão de estratégia de conteúdo

📩 Quer fazer parte do nosso time? Envie sua candidatura agora!

#VagaMarketing #MarketingDigital #THMEstatística #CiênciaDeDados #SocialMedia #Freela #EstágioMarketing",0,"02/21/2025 04:42",https://www.instagram.com/p/DGVdRbnp7an/,"Carrossel do Instagram",,"Toda a duração",2791,1679,22,7,,0,5
18038351090179570,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","📊 Teste de Hipótese: Você sabe qual usar? 🤔

Seja para comparar grupos, verificar associações ou validar suposições, escolher o teste estatístico correto faz toda a diferença! 📉

Você sabe quando usar Teste t, ANOVA, Qui-Quadrado ou outros? Aprenda agora e domine esse conceito essencial! 🚀

📌 Quer um material exclusivo sobre o tema? Comente ""APRENDER"" e receba um conteúdo especial!

#Estatística #TesteDeHipótese #CiênciaDeDados #THMEstatística #AnáliseEstatística",0,"02/27/2025 13:00",https://www.instagram.com/p/DGly-h7iAde/,"Carrossel do Instagram",,"Toda a duração",2842,1684,129,9,3,19,94
18244101667303120,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Tem que tomar cuidado...😟

#Estatística #probabilidade #CiênciaDeDados #THMEstatística #AnáliseEstatística",10,"02/28/2025 12:00",https://www.instagram.com/reel/DGoQ7jvMlcZ/,"Reel do IG",,"Toda a duração",4586,3044,125,31,,0,7
