"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Visualizações,Alcance,Gostos,Partilhas,Seguimentos,Comentários,"Itens guardados"
17998079918464965,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você sabe resolver um exercício de covariância? 🤯
APRENDA AGORA!

Link na BIO.

#thmestatistica #dados #estatistica #datascience #data",87,"07/02/2024 13:05",https://www.instagram.com/reel/C87t2dRtnU5/,"Reel do IG",,"Toda a duração",1289,893,23,0,,0,2
18263358472243866,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Não use mais esse tipo de de gráfico 🫣

#thmestatistica #dados #datascience #dataviz #data",0,"07/01/2024 13:03",https://www.instagram.com/p/C85I2IAvl1n/,"Imagem do Instagram",,"Toda a duração",,6502,382,30,3,10,50
18047371471791558,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Vivemos a era da estatística 😎

#thmestatistica #dados #estatistica #datascience",0,"09/30/2024 17:31",https://www.instagram.com/p/DAj74hhSaSn/,"Carrossel do Instagram",,"Toda a duração",1269,847,45,5,2,0,10
17943197942890192,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Acontece nos melhores 🤣

#thmestatistica #dados #datascience #statistics #data #RStudio",9,"09/27/2024 15:16",https://www.instagram.com/reel/DAb99wdqD6s/,"Reel do IG",,"Toda a duração",6675,3822,177,78,4,0,13
18041777987020891,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Entenda o risco dos seus projetos com monte carlo! 😎

#thmestatistica #dados #cienciadedados #montecarlo",24,"09/24/2024 15:36",https://www.instagram.com/reel/DAUR4a7quaW/,"Reel do IG",,"Toda a duração",1934,1487,68,5,1,0,20
18062170906660773,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Use todos os recursos disponíveis a favor da sua evolução 🤯

#thmestatística #dados #estatistica #datascience #datavisualization",0,"09/23/2024 15:28",https://www.instagram.com/p/DARsTGOv9Dt/,"Carrossel do Instagram",,"Toda a duração",1832,1290,65,1,,0,10
17897832114064778,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","… E nem é meme 🫢😅

Quais dessas vocês já ouviram?! 😂😂😂

#Estatistica #Analisededados #datascience",0,"09/20/2024 14:40",https://www.instagram.com/p/DAJ4bVzS3-8/,"Carrossel do Instagram",,"Toda a duração",7180,5155,359,66,4,5,29
18021389852409981,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Um algoritmo de várias possibilidades 😎

#thmestatistica  #dados #datascience #RandomForest #algoritmo",0,"09/18/2024 14:18",https://www.instagram.com/p/DAEsOqdpNeH/,"Carrossel do Instagram",,"Toda a duração",1413,915,71,2,,4,35
18134808940360458,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Você já conseguiu desenvolver algum teste desses até rejeitar a H0? 🤓

#thmestatistica #dados #statistics #mestrado #doutorado #graduacao #TCC #tese #dissertacao",24,"09/17/2024 13:55",https://www.instagram.com/reel/DACE2k3vE0J/,"Reel do IG",,"Toda a duração",13274,9929,296,16,177,1,44
18057650464738706,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Quando a ficção encontra o futuro que queremos 🤩

#thmestatistica #datascience  #Statistics  #hgwells",0,"09/16/2024 14:19",https://www.instagram.com/p/C__ixTNsQ-M/,"Carrossel do Instagram",,"Toda a duração",19859,12608,712,46,187,3,107
