"Identificação da publicação","Identificação da conta","Nome de utilizador da conta","Nome da conta",Descrição,"Duração (segundos)","Hora de publicação","Ligação permanente","Tipo de publicação","Comentário sobre os dados",Data,Visualizações,Gostos,Partilhas,Comentários,"Itens guardados",Alcance,Seguimentos
18283156231210508,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🚀 Vaga de Estágio na THM Consultoria Estatística!🚀

Estamos em busca de novos talentos para integrar nosso time! Se você é estudante de Ciência da Computação ou áreas correlatas como Engenharia de Software, Sistemas de Informação, Análise e Desenvolvimento de Sistemas, essa oportunidade pode ser para você!

🔍 Requisitos:

  Experiência com desenvolvimento de *banco de dados e webscraping
  Conhecimento em *HTML, Javascript, CSS e outras tecnologias web

🌟 Diferenciais:

  Habilidade com análise de dados e manipulação de planilhas
  Experiência com Python
  Conhecimento no desenvolvimento de *softwares e aplicativos web com interface de usuário

💻 Formato: Remoto
⏱ Carga horária: 20h ou 30h semanais

Não perca essa chance! Inscreva-se no processo seletivo clicando no link: https://abre.ai/estagio-thm-2024",0,"10/04/2024 15:50",https://www.instagram.com/p/DAuDirgyK6n/,"Carrossel do Instagram",,"Toda a duração",22225,140,40,1,69,11378,84
17938054928795655,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A ANOVA pode te ajudar muito a começar no mundo da análise de dados! 🤩

#thmestatistica #dados #datascience #statistic #estatistica",24,"10/01/2024 16:14",https://www.instagram.com/reel/DAmXmm8SWM4/,"Reel do IG",,"Toda a duração",2051,64,3,1,20,1677,1
18072495334657422,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Aconteceu com as melhores pesquisas 🤪

#thmestatistica #dados #datascience #CiênciaDeDados",9,"12/27/2024 15:03",https://www.instagram.com/reel/DEGXyVHpu6T/,"Reel do IG",,"Toda a duração",4708,103,36,0,6,3221,2
18308187106202296,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🌍 Geoestatística e inovação! A THM Estatística marcou presença no Congresso Brasileiro de Geotecnologias para o Meio Ambiente a convite do pessoal da Anderson Medeiros - ClickGeo , compartilhando conceitos, técnicas e aplicações para análises espaciais e soluções ambientais baseadas em dados. 🚀

#Geoestatística #Geotecnologias #THMEstatística #CiênciaDeDados #MeioAmbiente",42,"12/19/2024 11:00",https://www.instagram.com/reel/DDxVnhEOjkR/,"Reel do IG",,"Toda a duração",14779,162,6,1,31,8416,71
17992026419736195,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","📊 'Educação em dados será essencial, como a financeira. Não terceirize sua inteligência!' 🚀

Na Mesa Redonda do Hub InovaHC, discutimos a importância de entender dados em todas as áreas, da saúde às escolas. Quem domina os dados, domina o futuro! 💡

#CiênciaDeDados #EducaçãoEmDados #HubInovaHC #Inovação #THMEstatística",36,"12/18/2024 07:30",https://www.instagram.com/reel/DDuYyRrMomo/,"Reel do IG",,"Toda a duração",15880,160,7,1,22,10768,106
18046718675157318,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A verdade dói 🫣

#thmestatistica #dados #sql #Rstudio #datascience #excel",7,"12/13/2024 12:28",https://www.instagram.com/reel/DDiC6HvKn6S/,"Reel do IG",,"Toda a duração",9159,286,78,0,8,5235,1
18054018751795880,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🌍 Relembramos com orgulho a palestra da THM Estatística no 21º Congresso Nacional de Meio Ambiente! 

Com anos de expertise em dados ambientais, a THM atua onde a ciência de dados faz a diferença.

🔍 Nos desastres de Brumadinho e Mariana, aplicamos nossa metodologia estatística autoral para avaliar e monitorar impactos ambientais, entregando análises com precisão e relevância.

🌧️ Junto aos gestores públicos, utilizamos Machine Learning e IA para prever e prevenir desastres naturais, tornando decisões mais inteligentes e eficazes.

💡 O que nos diferencia? Nossa elevada qualificação técnica e a excelência na aplicação da Ciência de Dados. 

Combinamos inovação e conhecimento profundo para entregar resultados confiáveis e de impacto.

🌱 Quer saber mais sobre nossos cases e projetos? Acesse nosso site: thmestatistica.com

#CiênciaDeDados #THMEstatística #MeioAmbiente #Inovação #DadosAmbientais #tbt",0,"12/12/2024 13:11",https://www.instagram.com/p/DDfi_xiOeuN/,"Carrossel do Instagram",,"Toda a duração",1561,31,0,1,1,966,
18028137629236560,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🏗️ A Estatística transformando a construção civil! 

No nosso case com a Geovista e a Prefeitura de São Paulo (Secretaria de Infraestrutura Urbana - SIURB/PMSP), utilizamos dados reais de obras em andamento e métodos probabilísticos avançados para atualizar os índices de produtividade na construção civil.

📊 Os resultados? Ferramentas inovadoras, insights práticos, gráficos de monitoramento, publicações científicas e impacto nacional no setor de engenharia.

📖 Conheça o case completo, os artigos e as novidades no site da THM: thmestatistica.com. 

Quer otimizar suas análises? Precisa de orientação ou mentoria? 😉 Fale com a gente!
 
#EstatísticaNaEngenharia #CiênciaDeDados #THMEstatística #ConstruçãoCivil #Estatistica #MachineLearning",0,"12/10/2024 13:21",https://www.instagram.com/p/DDaanEUvBgI/,"Carrossel do Instagram",,"Toda a duração",2983,79,9,0,30,1803,
17959810406841568,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Em algumas vezes, a memória não é uma boa amiga...😟

#thmestatistica #dados #datascience #rstudio #estatistica  #statistics",5,"12/06/2024 13:30",https://www.instagram.com/reel/DDQIZXhi6Fh/,"Reel do IG",,"Toda a duração",8333,148,11,0,7,4443,
18252694177285856,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","A inovação na Saúde vai muito além dos dados tradicionais. Na Mesa Redonda do Hub InovaHC, discutimos como a Inteligência Artificial e as tecnologias avançadas podem transformar Palavras, Imagens, Números e Sons em insights valiosos para diagnósticos, gestão pública e muito mais. 🌍💡
Exploramos como dados que já existem ao nosso redor podem ser captados e analisados de forma inovadora, criando soluções que impactam diretamente o setor da Saúde.",39,"12/05/2024 13:29",https://www.instagram.com/reel/DDNjhzyM_b2/,"Reel do IG",,"Toda a duração",1475,22,2,1,3,1086,1
18321510508094788,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","📊 Quer trilhar a sua jornada na Ciência de Dados? 
Confira os 5 passos essenciais nos seus estudos:

1️⃣ Probabilidade (YouTube Educacional THM)
2️⃣ Inferência Estatística (YouTube Educacional THM)
3️⃣ Machine Learning e Big Data
4️⃣ Redes Neurais e IA Generativa
5️⃣ Estudos de Caso com Programação

🚀 Em 2025, a Comunidade THM está chegando! 

🧡 Comenta ‘eu quero’ para participar e avançar nos seus conhecimentos! 🧡

#CiênciaDeDados #InteligênciaArtificial #Estatística #THMEstatística #DataScience",61,"12/02/2024 13:18",https://www.instagram.com/reel/DDFy81wvpZt/,"Reel do IG",,"Toda a duração",13152,162,11,21,44,9608,111
17963744216828265,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","Eu só queria um pouco de distração 🥲

#thmestatistica #dados #tcc #tese #dissertacao #mestrado #doutorado #graduacao #faculdade",9,"11/29/2024 13:00",https://www.instagram.com/reel/DC-Dc8nBo_c/,"Reel do IG",,"Toda a duração",10147,310,155,1,29,7190,3
18051721843963238,17841442540595485,thmestatistica,"THM Estatística | Ciência de Dados","🧠 Inteligência Artificial desde 1990! No Flow Podcast, o professor Nicolelis compartilhou como utiliza redes neurais artificiais para decifrar padrões neurais e revolucionar a ciência. 🚀 Uma conversa inspiradora sobre dados, tecnologia e inovação que transformam o mundo. Assista ao trecho completo e veja como a IA faz parte da história de um dos maiores cientistas brasileiros! #InteligenciaArtificial #Neurociencia #Nicolelis #FlowPodcast #THMEstatistica",46,"11/26/2024 12:01",https://www.instagram.com/reel/DC2OMF_PatT/,"Reel do IG",,"Toda a duração",9484,274,28,1,45,5449,9
