Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
Total,,,19421,5475,26.9,0:04:51,358477,29063.6171,4987,4570652
XE4UHson59Y,Introdução | Estatística Básica 01,"Oct 5, 2020",1268,863,29.46,0:01:47,28631,852.5966,860,93596
tWcwNRBpViQ,Resumo de Dados | Estatística Básica 02,"Oct 5, 2020",858,216,45.42,0:05:08,12719,1089.6826,215,101217
SVH0EbN3QDE,Representações Gráficas I | Estatística Básica 03,"Oct 5, 2020",654,115,46.55,0:06:04,8952,907.4947,115,96059
RSRGO8U6rSU,"Parâmetros, Estimadores e Estimativas | Estatística Básica 11","Sep 22, 2021",602,179,30.24,0:05:00,13047,1089.2803,177,127093
uGexFqrNhw0,Introdução | Curso de Probabilidade 01,"Apr 16, 2021",584,331,17.91,0:02:23,11459,458.3918,330,47994
34rK4b4Ixrw,Representações Gráficas II | Estatística Básica 04,"Oct 5, 2020",417,56,45.71,0:05:18,5313,469.5044,52,88009
UxAU0BiiBZc,Distribuições Amostrais | Estatística Básica 13,"Sep 24, 2021",413,77,24.65,0:06:22,8961,952.2116,77,97650
x2IwKEB8pdQ,Medidas de Posição Central | Estatística Básica 05,"Oct 8, 2020",406,41,43.29,0:07:53,5297,696.8978,40,83867
K8F4KfrgEvY,"Probabilidade, Espaço Amostral e Diagrama de Venn | Curso de Probabilidade 02","Apr 19, 2021",333,71,32.37,0:06:58,4345,504.8498,71,48193
ToTN0oZaDcY,Boxplot | Estatística Básica 06,"Oct 8, 2020",329,29,38.01,0:06:36,4675,514.3085,28,78526
9A_AzxNMc30,ANOVA | Estatística Básica 30,"Dec 2, 2021",310,88,21.25,0:08:13,7116,975.6228,87,96908
5SIB_FjcsEo,Correlação e Regressão Linear | Estatística Básica 34,"Dec 6, 2021",308,99,21.31,0:07:16,7142,866.591,97,100391
W4agSbyZzaw,Teorema de Bayes | Curso de Probabilidade 04,"Apr 23, 2021",303,47,35.8,0:07:48,2839,370.1397,47,45257
1jqB2gvSiVg,Probabilidade Condicional | Curso de Probabilidade 03,"Apr 21, 2021",299,38,35.42,0:07:54,3375,444.7843,36,45510
ld4vUbxn9Mc,Medidas de Dispersão I | Estatística Básica 07,"Oct 14, 2020",299,23,41.45,0:06:05,4040,409.7779,23,67800
rldbKCg4c5s,ANOVA para Regressão Linear | Estatística Básica 35,"Dec 7, 2021",294,83,19.82,0:05:54,6757,664.8512,83,77857
6by8etdzDAo,Amostragem | Estatística Básica 10,"Nov 10, 2020",293,40,33.42,0:08:00,3916,522.4574,39,66108
DzX4Ok48HV4,Função de Distribuição Acumulada | Curso de Probabilidade 07,"Apr 30, 2021",287,37,24.52,0:06:12,4778,494.8854,36,58288
j6YL3DG2zA0,Distribuição de Probabilidade Conjunta | Curso de Probabilidade 18,"May 26, 2021",283,66,24.28,0:05:00,5707,477.0338,65,45495
iRil_pJJB1g,Teste de Hipóteses | Estatística Básica 20,"Oct 3, 2021",275,42,26.53,0:06:52,5290,605.3185,42,81885
jwt7KCejF0M,"Justeza, Consistência e Eficácia | Estatística Básica 12","Sep 23, 2021",262,42,34.71,0:06:16,4167,436.259,42,66348
2F8gXqgukU0,Exercícios de Teorema de Bayes | Curso de Probabilidade 05,"Apr 26, 2021",258,38,24.24,0:06:38,4195,463.9555,38,52882
HH81AoQVvsA,Medidas de Dispersão II | Estatística Básica 08,"Oct 15, 2020",258,11,37.36,0:06:33,2721,297.6451,10,64058
8TcimpQP51g,Variáveis Contínuas e Função Densidade de Probabilidade  | Curso de Probabilidade 09,"May 5, 2021",247,25,29.01,0:06:27,2944,316.9823,23,41641
v5AhF1Nnsic,Variáveis Aleatórias | Curso de Probabilidade 06,"Apr 29, 2021",235,24,34,0:06:34,2365,259.3558,22,37490
oMJ2rbaw7Uw,Intervalo de Confiança da Média | Estatística Básica 14,"Sep 27, 2021",233,27,30.44,0:07:25,4288,530.4723,27,66994
